CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,
Compensation for corporate fixed expenses. The tripartite wage compensation agreement provided increased security for employees' jobs, and the companies received substantial support for their labor costs. The government also proposes to cover some of the fixed costs that companies no longer have earnings to cover. Compensation scheme for self-employed persons. The self-employed are not directly covered by the tripartite wage compensation agreement, although they may also be challenged on their livelihoods. The government will therefore ensure compensation to the self-employed, who experience large declines in their turnover.
The government will already convene the political parties of the Parliament today for political discussions. There is a need to act quickly so as to create as much security as possible about Danish jobs in the midst of a chaotic era.) (source: https://www.fm.dk/nyheder/pressemeddelelser/2020/03/regeringen-praesenterer-stoettepakke-til-dansk-erhvervsliv)",,,,,,,932,1,67,"	"
Dominican Republic,DOM,20200318,1,1,,1,1,"All commercial stablishments, with some exceptions (supermarkets, pharmacies, etc.) must be closed https://www.expansion.com/e",1,1,All public gatherings (including football matches) were cancelledhttps://www.expansion.com/empresas/transporte/2020/03/18/5e71,0,0,,1,1,,0,0,,1,,1,"Targeting of small bussiness through offering loans, renegotiation of debts https://listindiario.com/economia/2020/03/18/60915",1,"Reduction of interest rate from 4.5 to 3.5, and of other rates regarding different modalities of loans. https://acento.com.do/",,,,,11,0,48,"	"
Algeria,DZA,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,4,,"	"
Ecuador,ECU,20200318,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,3,,0,,0,,0,,0,,58,2,76,"	"
Egypt,EGY,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,2,,"	"
Spain,ESP,20200318,2,1,,1,0,,2,1,,1,1,,1,1,,2,1,,3,https://www.lamoncloa.gob.es/lang/en/gobierno/news/paginas/2020/20200318travels.aspx,0,,0,,0,,0,,9191,309,86,"	"
Estonia,EST,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,0,,"	"
Ethiopia,ETH,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,"	"
Finland,FIN,20200318,2,1,"Information provided on government website: “The premises of schools, educational institutions, universities and universities of applied sciences as well as civic education and other liberal education institutes will be closed down, and contact teaching will be suspended. As an exception, however, pre-primary education organised in schools and contact teaching for grades 1–3 will continue for the children of parents working in sectors critical to the functioning of society. A further exception is that contact teaching will continue to be arranged for pupils who require it according to a decision on special-needs support; however, parents and guardians who are able to arrange childcare at home are still requested to do so.” 
(https://yle.fi/uutiset/osasto/news/finland_closes_schools_declares_state_of_emergency_over_coronavirus/11260062; https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi) 
",1,1,,2,1,"Information on government website: “Public gatherings are limited to no more than ten persons, and it is recommend to avoid spending unnecessary time in public places.”
-	https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi 
",0,,"No information on restricting public transport on the governmental website (https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi) 

However, public transport is limited, for instance in Helsinki:
'Public transport is operating in the Helsinki region but services are reduced. We have implemented an enhanced cleaning regime of public transport vehicles' 
(https://www.hsl.fi/en/news/2020/public-transport-and-coronavirus-updated-26-march-19400)",1,1,,1,1,,0,,,,,,,,,,272,0,62,"	"
France,FRA,20200318,2,1,,2,0,,2,1,,0,,,1,1,,2,1,,3,,0,,0,,0,,0,,6633,148,81,"	"
Gabon,GAB,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,"	"
United Kingdom,GBR,20200318,0,0,,1,1,,1,1,,0,,,1,1,,0,,,0,,,,0,0.25%,,,,,1543,55,33,"	"
Georgia,GEO,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,,"	"
Ghana,GHA,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,"	"
Guinea,GIN,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,"	"
Gambia,GMB,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,"	"
Equatorial Guinea,GNQ,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,"	"
Greece,GRC,20200318,2,1,"https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures

https://www.theguardian.com/world/2020/mar/12/how-do-coronavirus-containment-measures-vary-across-europe
",0,,,2,1,"“These measures are as follows: (...) 
- Suspend any conference event on the territory for the next 4 weeks.
- Suspend all school excursions within the country for 2 weeks.
- Hold all sports events behind closed doors for the next 2 weeks.
The measures are effective from Monday, March 9, 2020, and will be re-evaluated before they expire.” 
(https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6794-anakoinwsh-newn-metrwn-gia-thn-prostasia-ths-dhmosias-ygeias)

“The Government has also banned all large events and conferences for 4 weeks until 5 April”
(https://www.gov.uk/foreign-travel-advice/greece/coronavirus) ",0,,"Public transport is limited, but not closed: 

“As you also know, with announcements made this morning, public transport should operate as low as possible.” (14/03)
(https://eody.gov.gr/enimerosi-diapisteymenon-syntakton-ygeias-apo-ton-ekprosopo-toy-ypoyrgeioy-ygeias-gia-to-neo-koronoio-kathigiti-sotiri-tsiodra/) 

“The Athens Urban Transport Organisation (OASA) on Monday announced a special timetable for all public transport, with fewer trains and buses due to the special-purpose leave taken by drivers based on the Legislative Act outlining emergency measures for the coronavirus outbreak.” (16/03)
(https://greece.greekreporter.com/2020/03/16/coronavirus-athens-public-transport-services-cut-as-ridership-drops-by-half/) ",1,1,"https://government.gov.gr/koronoios-efpathis-omades/ (01/03) 

“Greece’s Health Ministry is stepping up a public information plan about how people can protect themselves from the coronavirus, with seven cases in the country and the European Union raising its alert level to high for the disease, now called Covid-19.
The Health Ministry is putting messages on TV and social media aimed at ensuring that people observe basic hygiene rules, especially washing hands regularly and the right way, to ward off spreading or contracting the disease.” (03/03)
(https://www.thenationalherald.com/289275/eu-raises-coronavirus-risk-alert-greece-pushes-information-campaign/)

https://government.gov.gr/koronoios-efpathis-omades-na-periorisoun-tis-metakinisis-tous/ (10/03)

https://eody.gov.gr/loimoxi-apo-to-neo-koronoio-covid-19-odigies-profylaxis-gia-to-koino/ (16/03)",0,,,,,,,,,,,,,352,4,43,"	"
Guatemala,GTM,20200318,2,1,,0,0,,1,1,,0,0,,1,1,,0,0,,3,,0,,0,,0,,0,,6,1,52,"	"
Guyana,GUY,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,"	"
Hong Kong,HKG,20200318,2,1,,0,0,,2,1,,0,0,,1,1,,1,1,"General population advised to self isolate
https://abcnews.go.com/International/mom-day-64-social-distancing-hong-kong-shes/story?id=69798853
https://www.news.gov.hk/eng/2020/02/20200211/20200211_181609_675.html",3,,0,,,,0,,,,,,67,"	"
